Holdings details

Large-Cap ETF (VV)


Equity,as of 08/31/2023

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,BKLJ8V2,Howmet Aerospace Inc.,HWM,0.03%,Aerospace & Defense,US,---,"$10,683,640.14","215,962"
,2111955,BorgWarner Inc.,BWA,0.02%,Automotive Parts & Equipment,US,---,"$10,467,126.50","256,862"
,BLFDXH8,Unity Software Inc.,U,0.02%,Application Software,US,---,"$10,001,448.93","269,799"
,B03Q9D0,MarketAxess Holdings Inc.,MKTX,0.02%,Financial Exchanges & Data,US,---,"$9,966,551.31","41,367"
,BWTN5N1,Etsy Inc.,ETSY,0.02%,Broadline Retail,US,---,"$9,949,606.80","135,240"
,B1WT4X2,Interactive Brokers Group Inc.,IBKR,0.02%,Investment Banking & Brokerage,US,---,"$9,792,921.60","107,520"
,BJJMGL2,Fox Corp.,FOXA,0.02%,Broadcasting,US,---,"$9,774,784.08","295,668"
,BDFG6S3,Hubbell Inc.,HUBB,0.02%,Electrical Components & Equipment,US,---,"$9,574,784.30","29,366"
,2849472,Steel Dynamics Inc.,STLD,0.02%,Steel,US,---,"$9,381,625.44","88,016"
,2692687,Brown & Brown Inc.,BRO,0.02%,Insurance Brokers,US,---,"$9,229,377.30","124,553"
,2098508,Bio-Rad Laboratories Inc.,BIO,0.02%,Life Sciences Tools & Services,US,---,"$9,176,986.20","22,931"
,2162845,Campbell Soup Co.,CPB,0.02%,Packaged Foods & Meats,US,---,"$8,909,288.40","213,652"
,2350684,Franklin Resources Inc.,BEN,0.02%,Asset Management & Custody Banks,US,---,"$8,832,462.66","330,309"
,BBGVT40,News Corp.,NWSA,0.02%,Publishing,US,---,"$8,622,303.76","401,224"
,2319414,EQT Corp.,EQT,0.02%,Oil & Gas Exploration & Production,US,---,"$8,568,667.54","198,257"
,BKTNTR9,Paramount Global,PARA,0.02%,Broadcasting,US,---,"$8,138,037.00","539,300"
,BYXJF62,Zillow Group Inc.,Z,0.02%,Real Estate Services,US,---,"$7,858,321.28","150,658"
,BDQZFJ3,Lamb Weston Holdings Inc.,LW,0.02%,Packaged Foods & Meats,US,---,"$7,781,013.39","79,879"
,BYNQ369,Albertsons Cos. Inc.,ACI,0.02%,Food Retail,US,---,"$7,756,336.00","346,265"
,2419217,HEICO Corp.,HEI,0.02%,Aerospace & Defense,US,---,"$7,697,225.04","45,624"
,2781585,Pool Corp.,POOL,0.02%,Distributors,US,---,"$7,448,003.20","20,372"
,BDV82B8,Leidos Holdings Inc.,LDOS,0.02%,Research & Consulting Services,US,---,"$7,335,579.79","75,229"
,2466321,Interpublic Group of Cos. Inc.,IPG,0.02%,Advertising,US,---,"$6,898,612.89","211,549"
,BMWF095,ZoomInfo Technologies Inc.,ZI,0.02%,Interactive Media & Services,US,---,"$6,758,545.16","375,058"
,BZ8VJQ8,Vistra Corp.,VST,0.02%,Independent Power Producers & Energy Tra,US,---,"$6,421,933.80","204,390"
,BM99VY2,Texas Pacific Land Corp.,TPL,0.02%,Oil & Gas Exploration & Production,US,---,"$6,381,763.50","3,386"
,2726177,Regency Centers Corp.,REG,0.01%,Retail REITs,US,---,"$6,302,228.40","101,322"
,B067BM3,Molson Coors Beverage Co.,TAP,0.01%,Brewers,US,---,"$6,275,542.07","98,843"
,2469193,Jack Henry & Associates Inc.,JKHY,0.01%,Transaction & Payment Processing Service,US,---,"$6,234,356.70","39,765"
,BMWWGB0,Caesars Entertainment Inc.,CZR,0.01%,Casinos & Gaming,US,---,"$6,195,474.90","112,115"
,2567503,Host Hotels & Resorts Inc.,HST,0.01%,Hotel & Resort REITs,US,---,"$6,155,084.11","389,809"
,BDG75V1,Black Knight Inc.,BKI,0.01%,Application Software,US,---,"$5,871,778.80","77,505"
,2604336,Charles River Laboratories International Inc.,CRL,0.01%,Life Sciences Tools & Services,US,---,"$5,817,226.14","28,127"
,BKRMR96,Equitable Holdings Inc.,EQH,0.01%,Diversified Financial Services,US,---,"$5,579,481.60","193,732"
,BZ1LFG7,Roku Inc.,ROKU,0.01%,Movies & Entertainment,US,---,"$5,490,500.40","67,617"
,BPMQ7X2,Annaly Capital Management Inc.,NLY,0.01%,Mortgage REITs,US,---,"$5,479,244.51","270,313"
,BP0TR77,Lucid Group Inc.,LCID,0.01%,Automobile Manufacturers,US,---,"$5,476,084.64","871,988"
,BCV7KT2,American Airlines Group Inc.,AAL,0.01%,Passenger Airlines,US,---,"$5,274,135.42","358,054"
,BK6YKG1,Globe Life Inc.,GL,0.01%,Life & Health Insurance,US,---,"$5,259,409.80","47,140"
,2019479,Boston Properties Inc.,BXP,0.01%,Office REITs,US,---,"$5,169,867.56","77,428"
,2431846,Juniper Networks Inc.,JNPR,0.01%,Communications Equipment,US,---,"$5,135,457.60","176,355"
,2954194,Vail Resorts Inc.,MTN,0.01%,Leisure Facilities,US,---,"$5,021,361.84","22,187"
,BP96PQ4,Catalent Inc.,CTLT,0.01%,Pharmaceuticals,US,---,"$4,686,836.21","93,793"
,BYR0914,Westrock Co.,WRK,0.01%,Paper & Plastic Packaging Products & Materials,US,---,"$4,594,708.28","140,468"
,BJJMGY5,Fox Corp.,FOX,0.01%,Broadcasting,US,---,"$4,308,661.00","141,175"
,BLGJ610,Warner Music Group Corp.,WMG,0.01%,Movies & Entertainment,US,---,"$4,290,538.50","128,845"
,BP6D7B7,Toast Inc.,TOST,<0.01%,Transaction & Payment Processing Service,US,---,"$4,190,817.27","189,031"
,2146816,Brown-Forman Corp.,BF.A,<0.01%,Distillers & Vintners,US,---,"$3,811,806.54","56,698"
,2928683,VF Corp.,VFC,<0.01%,"Apparel, Accessories & Luxury Goods",US,---,"$3,793,426.00","191,975"
,BJQ05Y5,Endeavor Group Holdings Inc.,EDR,<0.01%,Movies & Entertainment,US,---,"$3,600,051.29","164,461"
,BVYJBR3,Zillow Group Inc.,ZG,<0.01%,Real Estate Services,US,---,"$3,199,099.92","62,826"
,BMTX0G9,Corebridge Financial Inc.,CRBG,<0.01%,Diversified Financial Services,US,---,"$3,166,001.78","177,566"
,BBGVT51,News Corp.,NWS,<0.01%,Publishing,US,---,"$3,159,090.00","143,595"
,BYP0CD9,Avangrid Inc.,AGR,<0.01%,Electric Utilities,US,---,"$2,927,773.50","84,863"
,BGLDK10,Sirius XM Holdings Inc.,SIRI,<0.01%,Cable & Satellite,US,---,"$2,804,071.60","637,289"
,2508386,Plug Power Inc.,PLUG,<0.01%,Electrical Components & Equipment,US,---,"$2,784,219.84","329,104"
,BJLFHW7,Chewy Inc.,CHWY,<0.01%,Other Specialty Retail,US,---,"$2,445,936.02","101,999"
,B01ZP20,Westlake Corp.,WLK,<0.01%,Commodity Chemicals,US,---,"$2,313,892.68","17,666"
,2822019,Advance Auto Parts Inc.,AAP,<0.01%,Automotive Retail,US,---,"$2,243,669.64","32,602"
,BRTLBY3,Liberty Broadband Corp.,LBRDA,<0.01%,Cable & Satellite,US,---,"$1,686,830.96","18,014"
,2578293,Lennar Corp.,LEN.B,<0.01%,Homebuilding,US,---,"$1,464,228.48","13,728"
,BMD6Y84,Rocket Cos. Inc.,RKT,<0.01%,Commercial & Residential Mortgage Financ,US,---,"$1,329,254.16","124,462"
,BKTNTP7,Paramount Global,PARAA,<0.01%,Broadcasting,US,---,"$112,455.00","6,125"
,BPLYVR9,Liberty Media Corp-Liberty Live,LLYVK,<0.01%,Cable & Satellite,US,---,$25.24,0.75
,BPLYVQ8,Liberty Media Corp-Liberty Live,LLYVA,<0.01%,Cable & Satellite,US,---,$16.66,0.5


Fixed income,as of 08/31/2023

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,MARKET VALUE*,FACEAMOUNT,COUPONYIELD,MATURITY DATE



Short-term reserves,as of 08/31/2023

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,MARKET VALUE*
,---,MKTLIQ,---,0.23%,"$96,767,581.67"
,---,SLBBH1142,---,0.02%,"$10,229,529.14"



"** There may be deviations when applying fair value and other considerations."



"Sector categories are based on the Industry Classification Benchmark system (&#8220;ICB&#8221;), except for the &#8220;Other&#8221; category (if applicable), which includes securities that have not been provided an ICB classification as of the effective reporting period."



"For more information about Vanguard funds and Vanguard ETF Shares, visit advisors.vanguard.com or call 800-997-2798 to obtain a prospectus or, if available, a summary prospectus. Investment objectives, risks, charges, expenses, and other important information about a fund are contained in the prospectus; read and consider it carefully before investing."
